taskCreatedTime,taskAssignedTo,taskCompletedTime,taskStatus,flow,taskId,taskLocationDone.lon,taskLocationDone.lat,cod.amount,cod.received,UserVar.branch_dest,UserVar.taskStatusLabel,UserVar.receiver_city,UserVar.taskDetailStatusLabel,UserVar.taskDetailStatus,UserVar.weight,UserVar.branch_origin,UserVar.taskStatus,timeDiff,timeDiffMinutes,isCOD,branchPath
2022-11-09 01:23:56+00:00,pleasedChough5,2022-11-09 02:18:29+00:00,done,Delivery,355932d7dc78e7550bba,98.6896119,2.6504478,0.0,NO COD,MES,Success,"PANGURURAN,KAB.SAMOS",KELUARGA/SAUDARA,D09,1.0,MES,COLF01,0 days 00:54:33,54.55,0,MES->MES
2022-11-09 00:43:53+00:00,stressedBass8,2022-11-09 02:18:22+00:00,done,Delivery,070a5a532b84cceadcb8,0.0,0.0,292950.0,False,MJK,Failed,"PACE,KAB. NGANJUK",MISROUTE,U12,2.0,CGK,COLF02,0 days 01:34:29,94.48333333333333,1,CGK->MJK
2022-11-09 00:05:40+00:00,innocentStork0,2022-11-09 02:18:27+00:00,done,Delivery,b776bf2fa393f55c293f,0.0,0.0,0.0,NO COD,SRG,Success,"BRANGSONG,KENDAL",ATASAN/STAFF/KARYAWAN/BAWAHAN,D10,0.5,CGK,COLF01,0 days 02:12:47,132.78333333333336,0,CGK->SRG
2022-11-09 00:42:37+00:00,gutturalMandrill0,2022-11-09 02:18:23+00:00,done,Delivery,e48f055a5b60fc2f32e4,116.8298036,-1.2474983,0.0,NO COD,BPN,Success,"BALIKPAPAN TENGAH, B",ATASAN/STAFF/KARYAWAN/BAWAHAN,D10,1.0,CLG,COLF01,0 days 01:35:46,95.76666666666667,0,CLG->BPN
2022-11-09 00:45:15+00:00,crushedIguana8,2022-11-09 02:13:02+00:00,done,Delivery,07a6d3e7369482c0dd38,111.0294316,-6.73854,0.0,NO COD,SRG,Success,"PATI,KAB.PATI",YANG BERSANGKUTAN,D01,1.0,SRG,COLF01,0 days 01:27:47,87.78333333333333,0,SRG->SRG
2022-11-09 01:51:17+00:00,aloofPepper7,2022-11-09 02:18:18+00:00,done,Delivery,e17dd11152276aac681c,0.0,0.0,0.0,NO COD,PBL,Success,"PAITON,PROBOLINGGO",RECEPTIONIST,D02,2.59,CGK,COLF01,0 days 00:27:01,27.016666666666666,0,CGK->PBL
2022-11-09 00:53:00+00:00,pacifiedGarlic2,2022-11-09 01:34:21+00:00,done,Delivery,96be7ec687f623b3449b,0.0,0.0,0.0,NO COD,BKS,Success,"LEBONG UTARA,LEBONG",YANG BERSANGKUTAN,D01,5.08,CGK,COLF01,0 days 00:41:21,41.35,0,CGK->BKS
2022-11-09 00:45:15+00:00,crushedIguana8,2022-11-09 02:17:24+00:00,done,Delivery,6ca8a2aec17085321407,111.0275982,-6.7434272,0.0,NO COD,SRG,Success,"PATI,KAB.PATI",ATASAN/STAFF/KARYAWAN/BAWAHAN,D10,1.0,CGK,COLF01,0 days 01:32:09,92.15,0,CGK->SRG
2022-11-09 00:53:00+00:00,pacifiedGarlic2,2022-11-09 01:35:36+00:00,done,Delivery,abcdb0a0a5d5ee1bb4f2,0.0,0.0,0.0,NO COD,BKS,Success,"LEBONG UTARA,LEBONG",YANG BERSANGKUTAN,D01,0.45,CGK,COLF01,0 days 00:42:36,42.6,0,CGK->BKS
2022-11-09 01:42:20+00:00,awedLeopard5,2022-11-09 02:18:28+00:00,done,Delivery,57314fb5dfb71c46693a,0.0,0.0,0.0,NO COD,CLG,Success,"CIKANDE,BAROS",SECURITY,D04,1.0,CGK,COLF01,0 days 00:36:08,36.13333333333333,0,CGK->CLG
2022-11-09 01:38:29+00:00,ashamedVenison0,2022-11-09 02:15:56+00:00,done,Delivery,7d9662f90987777ea379,0.0,0.0,0.0,NO COD,KOE,Success,"ATAMBUA,KAB.BELU",YANG BERSANGKUTAN,D01,12.5,BKI,COLF01,0 days 00:37:27,37.45,0,BKI->KOE
2022-11-09 00:09:59+00:00,excludedRelish4,2022-11-09 02:18:32+00:00,done,Delivery,1540b2d1c3bf22ad3169,107.1784767,-6.8047267,0.0,NO COD,BDO,Success,"KARANGTENGAH, CIANJU",ATASAN/STAFF/KARYAWAN/BAWAHAN,D10,1.0,CGK,COLF01,0 days 02:08:33,128.55,0,CGK->BDO
