taskId,taskStatus,taskCreatedTime,cod.amount,UserVar.receiver_city,UserVar.weight,isCOD,UserVar.branch_origin_AMI,UserVar.branch_origin_AMQ,UserVar.branch_origin_BDJ,UserVar.branch_origin_BDO,UserVar.branch_origin_BKI,UserVar.branch_origin_BKS,UserVar.branch_origin_BOO,UserVar.branch_origin_BPN,UserVar.branch_origin_BTG,UserVar.branch_origin_BTH,UserVar.branch_origin_BTJ,UserVar.branch_origin_CBN,UserVar.branch_origin_CGK,UserVar.branch_origin_CKR,UserVar.branch_origin_CLG,UserVar.branch_origin_CXP,UserVar.branch_origin_DJB,UserVar.branch_origin_DJJ,UserVar.branch_origin_DPK,UserVar.branch_origin_DPS,UserVar.branch_origin_DTB,UserVar.branch_origin_GTO,UserVar.branch_origin_JBR,UserVar.branch_origin_JOG,UserVar.branch_origin_KDI,UserVar.branch_origin_KDR,UserVar.branch_origin_KOE,UserVar.branch_origin_KRW,UserVar.branch_origin_MDC,UserVar.branch_origin_MDN,UserVar.branch_origin_MES,UserVar.branch_origin_MGL,UserVar.branch_origin_MJK,UserVar.branch_origin_MXG,UserVar.branch_origin_PBL,UserVar.branch_origin_PDG,UserVar.branch_origin_PGK,UserVar.branch_origin_PKU,UserVar.branch_origin_PKY,UserVar.branch_origin_PLM,UserVar.branch_origin_PLW,UserVar.branch_origin_PNK,UserVar.branch_origin_PSR,UserVar.branch_origin_PWT,UserVar.branch_origin_SMD,UserVar.branch_origin_SMI,UserVar.branch_origin_SOC,UserVar.branch_origin_SOQ,UserVar.branch_origin_SRG,UserVar.branch_origin_SUB,UserVar.branch_origin_TGL,UserVar.branch_origin_TGR,UserVar.branch_origin_TJQ,UserVar.branch_origin_TKG,UserVar.branch_origin_TNJ,UserVar.branch_origin_TRK,UserVar.branch_origin_TSM,UserVar.branch_origin_TTE,UserVar.branch_origin_UPG,UserVar.branch_dest_AMI,UserVar.branch_dest_AMQ,UserVar.branch_dest_BDJ,UserVar.branch_dest_BDO,UserVar.branch_dest_BKI,UserVar.branch_dest_BKS,UserVar.branch_dest_BOO,UserVar.branch_dest_BPN,UserVar.branch_dest_BTG,UserVar.branch_dest_BTH,UserVar.branch_dest_BTJ,UserVar.branch_dest_CBN,UserVar.branch_dest_CGK,UserVar.branch_dest_CKR,UserVar.branch_dest_CLG,UserVar.branch_dest_CXP,UserVar.branch_dest_DJB,UserVar.branch_dest_DJJ,UserVar.branch_dest_DPK,UserVar.branch_dest_DPS,UserVar.branch_dest_DTB,UserVar.branch_dest_GTO,UserVar.branch_dest_JBR,UserVar.branch_dest_JOG,UserVar.branch_dest_KDI,UserVar.branch_dest_KDR,UserVar.branch_dest_KOE,UserVar.branch_dest_KRW,UserVar.branch_dest_MDC,UserVar.branch_dest_MDN,UserVar.branch_dest_MES,UserVar.branch_dest_MGL,UserVar.branch_dest_MJK,UserVar.branch_dest_MKQ,UserVar.branch_dest_MXG,UserVar.branch_dest_PBL,UserVar.branch_dest_PDG,UserVar.branch_dest_PGK,UserVar.branch_dest_PKU,UserVar.branch_dest_PKY,UserVar.branch_dest_PLM,UserVar.branch_dest_PLW,UserVar.branch_dest_PNK,UserVar.branch_dest_PSR,UserVar.branch_dest_PWT,UserVar.branch_dest_SDA,UserVar.branch_dest_SMD,UserVar.branch_dest_SMI,UserVar.branch_dest_SOC,UserVar.branch_dest_SOQ,UserVar.branch_dest_SRG,UserVar.branch_dest_SUB,UserVar.branch_dest_TGL,UserVar.branch_dest_TGR,UserVar.branch_dest_TIM,UserVar.branch_dest_TJQ,UserVar.branch_dest_TKG,UserVar.branch_dest_TNJ,UserVar.branch_dest_TRK,UserVar.branch_dest_TSM,UserVar.branch_dest_TTE,UserVar.branch_dest_UPG,timeDiffMinutes
07983fc9741a4c3052a7,done,1667349979.0,26200.0,736.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2666666666666666
4083c65a57111f205b72,done,1667350009.0,0.0,317.0,16.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5833333333333334
8b36ef097de53014071c,done,1667349433.0,130000.0,224.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.333333333333334
e6b67dde5dc66ad87ca8,done,1667347780.0,236900.0,1681.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.85
09a9d081c7081742d4ce,done,1667347869.0,0.0,1487.0,9.32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.38333333333333
c7f49ee89deb3a3bd680,done,1667347781.0,232425.0,1558.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.833333333333336
eeea42faeba815fc8803,done,1667347474.0,0.0,210.0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0
a1b81390d73c9d0c3a0e,done,1667348133.0,0.0,717.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.98333333333333
9bb95f10b5f7879e2834,done,1667348133.0,0.0,717.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.98333333333333
cafbc2b35fbf13fe7db0,done,1667347279.0,0.0,1712.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.31666666666667
fbcdfadd4f723be4597c,done,1667349626.0,76800.0,745.0,0.04,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7333333333333334
a47196ce9f7abbb06f5a,done,1667347438.0,0.0,1687.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37.75
